Participant,WouldReccomend,LackOriginality,GeneralizePrevious,QuestionOriginal,NotPriority,BuildReputation,VerifyResults,NegativePublisherEvaluation,ExpandResults,EstablishKnowledge,LearnMethods,RelevantResearch,StrengthenDiscipline,ConsolidateResults,ValuableToField,LackInnovation,IncreaseOrDecrease,HaveReplicated,WantToReplicate,Country,PublishPerYear,CoursesTaken,ResearchType
274,1,50,90,50,40,50,90,50,90,70,60,80,80,90,85,30,NA,1,,Canada,2,NA,3
275,1,0,NA,25,48,47,76,46,92,65,77,100,100,67,100,0,3,0,Yes,USA,3,8,2
276,1,20,100,79,0,71,100,34,100,100,75,100,100,100,100,0,3,1,,USA,2,9,2
277,1,0,100,50,80,30,100,50,100,100,100,100,100,100,100,0,3,1,,USA,1,5,2
278,1,18,51,21,68,42,70,75,75,71,85,82,78,79,79,59,3,0,No response,Norway,1,2,2
279,1,30,75,50,10,11,60,50,55,74,50,100,100,60,75,30,3,0,Yes,USA,2,4,2
280,1,2,72,4,6,50,25,52,27,57,57,100,100,67,100,3,3,1,,USA,2,10,1
281,1,0,100,0,50,50,100,50,75,100,75,100,100,100,100,0,3,1,,USA,1,6,2
282,1,1,100,1,1,100,100,1,100,100,100,100,100,100,100,1,3,1,,USA,1,4,2
285,NA,50,NA,70,50,50,75,NA,70,50,30,51,50,75,70,70,NA,0,NA,Brazil,NA,NA,4
286,1,0,87,59,100,0,100,16,88,100,100,100,100,99,100,0,3,1,,USA,1,3,3
287,1,80,100,52,100,100,100,80,100,100,51,100,100,100,100,0,3,1,,USA,NA,4,2
288,1,29,82,92,50,40,91,52,68,37,37,90,91,91,91,73,3,0,Yes,USA,2,2,2
289,1,0,80,100,50,50,65,40,80,100,100,100,100,100,100,0,3,1,,USA,3,3,2
291,1,97,61,100,1,53,75,NA,75,83,100,100,87,81,79,94,3,1,,USA,0,2,4
292,1,61,92,50,13,45,100,70,98,95,NA,93,92,95,87,40,3,0,No response,Canada,1,4,2
293,1,47,49,49,50,48,51,47,47,49,49,49,49,49,51,50,3,1,,USA,2,4,2
294,1,62,50,100,100,50,70,50,50,50,50,50,50,50,50,50,NA,1,,Brazil,1,2,4
295,1,10,93,62,1,70,100,55,100,100,100,100,100,100,100,5,3,1,,USA,1,3,3
296,0,92,30,16,89,5,5,16,33,16,45,7,10,26,10,88,1,0,No response,USA,NA,8,2
297,1,0,NA,0,0,50,90,50,90,90,90,90,100,90,100,NA,3,0,Yes,USA,1,3,2
298,1,82,83,84,68,85,85,85,92,93,99,100,100,100,99,94,3,0,Yes,Brazil,2,1,4
299,0,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,3,1,,USA,0,2,2
300,1,30,27,3,72,45,30,50,51,85,86,86,76,61,81,2,NA,0,Yes,USA,NA,NA,NA
301,1,40,76,71,27,55,63,13,57,59,74,80,62,61,63,39,3,0,No response,USA,1,3,4
302,1,82,93,80,80,8,100,100,95,66,59,88,100,100,78,2,3,0,No response,USA,NA,3,2
303,1,NA,100,NA,100,NA,100,NA,100,100,100,100,100,100,100,NA,3,1,,Colombia,1,NA,4
304,1,50,50,100,50,50,75,50,100,50,50,100,100,75,100,50,3,1,,Spain,4,5,3
305,1,51,100,22,69,51,99,62,89,100,100,100,100,100,100,28,3,1,,USA,1,6,1
306,1,16,51,100,43,17,100,6,100,100,100,100,100,100,100,0,NA,1,,NA,NA,NA,NA
307,1,9,51,52,13,85,82,50,84,83,64,78,78,80,81,72,NA,1,,NA,NA,NA,NA
308,No response,55,79,68,30,23,80,NA,81,81,82,82,82,82,73,58,3,0,Yes,USA,0,2,1
309,1,9,73,29,1,33,69,6,79,100,65,100,100,82,100,11,3,1,,USA,2,1,2
310,1,0,51,51,51,85,86,74,74,76,76,100,77,77,100,0,3,0,Yes,Brazil,1,3,4
311,1,19,100,33,25,74,100,53,83,100,68,100,100,99,99,32,3,1,,USA,1,5,3
312,1,30,50,20,10,80,70,70,70,80,70,90,90,71,80,51,3,1,,USA,3,3,3
313,1,0,90,15,10,50,100,10,90,50,50,100,100,100,100,60,3,1,,USA,3,5,3
314,1,50,86,82,13,13,87,50,85,66,67,60,60,85,61,60,3,0,No,Germany,1,0,4
315,1,39,80,30,100,15,75,100,100,100,70,95,100,100,100,30,3,0,Yes,USA,1,4,2
316,1,10,50,50,85,30,71,100,100,80,70,100,100,100,100,10,3,1,,Germany,1,3,3
317,1,10,10,10,100,10,75,25,80,80,90,80,80,90,100,10,2,1,,Brazil,1,5,3
318,NA,45,43,51,45,50,46,24,46,46,45,43,42,44,44,44,NA,0,Yes,USA,3,3,2
319,1,NA,50,50,25,30,80,75,50,90,65,100,100,100,100,50,3,0,Yes,USA,2,8,2
320,1,9,10,51,10,50,100,49,100,100,100,100,100,100,100,70,3,0,Yes,Spain,1,3,2
321,1,30,45,70,20,40,40,50,70,85,100,100,100,72,100,50,3,1,,USA,1,1,3
322,1,50,60,60,50,40,50,60,70,60,50,90,90,70,90,40,3,0,No response,France,1,1,2
323,1,60,94,30,51,32,71,71,95,80,51,67,76,77,63,50,3,0,Yes,Canada,1,5,2
324,1,82,49,85,74,11,49,66,99,100,100,100,100,100,100,55,3,1,,USA,2,3,3
325,1,1,1,70,1,20,1,20,1,1,1,1,1,1,1,80,3,1,,Saudi Arabia,2,6,2
326,1,3,72,5,87,52,51,51,73,79,68,97,94,54,96,5,3,1,,Netherlands,2,2,4
327,1,0,79,0,73,50,99,60,70,99,69,100,100,100,99,0,3,1,,USA,0,1,1
329,1,50,100,50,65,75,100,25,100,75,100,100,100,100,100,50,3,1,,USA,NA,2,2
330,1,0,100,0,0,100,100,0,100,100,100,100,100,100,100,0,3,1,,NA,NA,3,2
331,1,0,100,0,0,100,100,0,100,100,100,100,100,100,100,0,3,1,,USA,NA,3,2
333,0,51,50,52,51,50,50,49,48,48,48,48,48,47,48,47,2,0,No,NA,NA,NA,2
334,1,50,65,60,25,60,80,73,80,80,100,100,100,100,99,10,NA,1,,NA,NA,NA,NA
335,1,1,21,89,25,57,91,16,78,81,100,100,88,66,97,2,NA,1,,NA,NA,NA,NA
338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,3,1,,NA,0,0,2
339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,Yes,Democratic Republic of the Congo,0,0,3
341,1,1,1,52,1,77,98,53,97,86,97,97,97,97,97,1,3,1,,USA,NA,3,2
342,1,0,100,100,67,68,100,67,100,100,75,100,100,100,100,0,3,1,,USA,0,4,1
343,1,6,79,54,4,34,87,44,15,83,58,100,100,100,100,0,3,1,,USA,2,1,2
344,1,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,NA,3,1,,USA,NA,3,1
345,1,2,100,2,2,100,100,49,100,100,100,100,100,100,100,1,3,1,,USA,3,2,2
346,1,10,0,10,71,82,100,50,84,100,100,100,100,100,99,0,3,1,,China,3,3,2
348,No response,80,30,70,50,10,50,40,10,10,70,30,30,60,30,80,1,0,No,Mauritius,5,0,2
349,1,0,100,40,0,80,0,40,50,90,80,80,100,80,100,20,3,1,,USA,2,1,2
350,1,68,50,68,21,21,68,48,70,71,52,72,79,72,53,24,NA,1,,NA,NA,NA,NA
351,0,51,75,73,39,29,83,24,72,36,75,70,32,75,75,18,NA,1,,NA,NA,NA,NA
352,1,68,40,42,42,25,49,30,50,40,62,43,22,52,38,34,3,1,,China,NA,NA,NA
353,1,23,40,9,100,48,11,5,100,100,100,100,100,100,100,8,NA,1,,NA,NA,NA,NA
354,1,14,74,54,90,66,82,0,81,65,95,78,71,75,92,6,NA,1,,NA,NA,NA,NA
